Nombre ,Campo STEM,Institución,Destacado,"Contacto (página personal, otros)",Departamento/ciudad,Latitud,Longitud
Kathrin Barboza Márquez ,Biología ,Programa de Conservación de Murciélagos ,Redescubrió el murciélago Sword-nosed en Bolivia.,https://www.linkedin.com/in/kathrin-barboza-marquez-aa315155/?originalSubdomain=bo,Santa Cruz,-17.7833,-63.1833
Natalia Montellano,Biotecnología,Universidad Católica Boliviana (SC),"Ganadora de la Beca OWSD Early Career Fellowship de OWSD – UNESCO 2019, para promover a jóvenes investigadores en países en desarrollo.",https://www.linkedin.com/in/natalia-montellano-duran-a597a71a6/,Santa Cruz,-17.7833,-63.1833
Patricia Cabero Tapia ,Ingeniería de sistemas,ProcessMaker,Gold and Silver Stevie Awards for Technology Excellence in Education in 2024,https://www.linkedin.com/in/pattycabero/?originalSubdomain=bo,La Paz,-16.5,-68.15
Luzmila Arroyo Padilla,Biología ,Museo del historia Natural Noel Kempff Mercado,Directo del museo de histora natural Noel Kempff Mercado ,https://www.linkedin.com/in/luzmila-arroyo-padilla-04a21636/,Santa Cruz,-17.7833,-63.1833
Paola Alvizuri,Ingeniería ambiental ,UCB,Ganadora de financiamiento de La Organización de Mujeres en la Ciencia para el Mundo en Desarrollo,https://www.linkedin.com/in/paola-alvizuri-4056981b5/?originalSubdomain=bo,La Paz,-16.5,-68.15
Andrea Espinar,Ingeniería química,UCB,Directora de la carrera de Ingeniería química e Ingeniería bioquímica y de bioprocesos ,https://www.linkedin.com/in/andrea-espinar-saavedra-b0935624a/,La Paz,-16.5,-68.15
Alina Santander Vinokurova,Ingeniería mecatrónica,Vaughn College y UMSA,Participó en versión de la competencia de la NASA y fue el primer equipo femenino boliviano obtuvo el primer lugar en la categoría «High School».,https://www.linkedin.com/in/alina-santander-vinokurova/?locale=es_ES,La Paz,-16.5,-68.15
Camila Velasco,Ingeniería espacial ,Instituto Superior de Aeronáutica y Espacio (ISAE) en Francia,"Participó en el desarrollo del explorador Perseverance, que hoy llegó a Marte con la misión de buscar indicios de vida",https://www.linkedin.com/in/camila-velasco-mars-space/?originalSubdomain=fr,La Paz,-16.5,-68.15
Carla Marcela Florida ,Ingeniería Sistemas,UPB,CEO en Menty Academy Bolivia,https://www.linkedin.com/in/carlamfr/?originalSubdomain=bo,La Paz,-16.5,-68.15
Veronica Velarde,Estadística ,Banco Sol ,Gerente Nacional de Marketing Estratégico,https://www.linkedin.com/in/ver%C3%B3nica-velarde-lijeron-a50074113/?originalSubdomain=bo,La Paz,-16.5,-68.15
Monica Moraes ,Botánica,Instituto de Ecología,Presidente de ANC,https://pure.umsa.bo/es/persons/m%C3%B3nica-graciela-moraes-ramirez,La Paz,-16.5,-68.15
Monica Pozadas,Física,UMSA,Docente,http://sicyt.umsa.bo/personas/informacionPersona/2499,La Paz,-16.5,-68.15
María Eugenia García Moreno,Química,UMSA,Vicerrectora,https://www.linkedin.com/in/maria-eugenia-garcia-7a97251b/?originalSubdomain=bo,La Paz,-16.5,-68.15
Veronica Subieta ,Física,UMSA,Docente,https://scholar.google.com/citations?user=BFzfaL8AAAAJ&hl=es,La Paz,-16.5,-68.15
Karem Esther Infantas Soto,Ingeniería de sistemas,GeneraKnow y GeneraCenter,Founder de GeneraCenter y Doctorado en Ciencias,https://www.linkedin.com/in/kareminfantas/?originalSubdomain=bo,Santa Cruz,-17.7833,-63.1833
Erika Yamina Eid Encina ,Ingeniería de sistemas,SIB,Miembro activo del SIB,,Santa Cruz,-17.7833,-63.1833
Kathia Espinoza Rojas,Ingeniería civil,UPSA,"Líder de Calidad/Supervisión de obras,",https://www.linkedin.com/in/kathia-espinoza-rojas-calidad/?originalSubdomain=bo,Santa Cruz,-17.7833,-63.1833
Melisa Guzman Vega,Ingeniería industrial,UPSA,Encargada de Laboratorio de Ingeniería Industrial y de Sistemas,https://www.linkedin.com/in/melisa-guzman/?originalSubdomain=bo,Santa Cruz,-17.7833,-63.1833
Gabriela Pinaya Johannessen,Ingeniería industrial y sistemas,FIKA Group,Director de Sostenibilidad en FIKA Group,https://www.linkedin.com/in/gabriela-alejandrina-pinaya-johannessen-2749662a/?originalSubdomain=bo,Santa Cruz,-17.7833,-63.1833
Nancy Velásquez Suárez,Ingeniería informática,UPSA,Coordinadora Facultad de Ingeniería,https://www.linkedin.com/in/nancy-yudy-vel%C3%A1squez-su%C3%A1rez-01a47447/?originalSubdomain=bo,Santa Cruz,-17.7833,-63.1833
Cynthia Bojanic,Ingeniera química,UPSA,Jefe del Departamento de Matematicas,https://www.linkedin.com/in/cynthia-bojanic-ba04a12b/?originalSubdomain=bo,Santa Cruz,-17.7833,-63.1833
Liliana Gutierrez Miranda,Ingeniería eléctrica,UAJMS,Secretaría de Energía e Hidricarburos,https://www.linkedin.com/in/liliana-gutierrez-miranda-44583013b/?originalSubdomain=bo,Tarija,-21.5333,-64.7333
Ilsen Copa Almazán,Ingeniería medioambiental,UAJMS,Consultora en Proyectos de Agua Potable y Saneamiento Básico,https://www.linkedin.com/in/ilsen-copa-almaz%C3%A1n-4a0bb686/?originalSubdomain=bo,Tarija,-21.5333,-64.7333
